origin,destination,depart_date,gate,price_eur_new,price_eur_old,price_diff,change_pct,route,change_type
IST,BUE,2025-06-19,Biletix,976,970,6,0.6185567010309279,IST → BUE,Stable (±1%)
IST,BUE,2025-06-19,Biletix,976,970,6,0.6185567010309279,IST → BUE,Stable (±1%)
IST,BUE,2025-06-19,Biletix,977,970,7,0.7216494845360825,IST → BUE,Stable (±1%)
IST,BUE,2025-06-19,Biletix,977,970,7,0.7216494845360825,IST → BUE,Stable (±1%)
IST,BUE,2025-06-19,Biletix,977,970,7,0.7216494845360825,IST → BUE,Stable (±1%)
IST,BUE,2025-06-19,Biletix,977,970,7,0.7216494845360825,IST → BUE,Stable (±1%)
IST,BUE,2025-06-19,Biletix,977,970,7,0.7216494845360825,IST → BUE,Stable (±1%)
IST,BUE,2025-06-19,Biletix,977,970,7,0.7216494845360825,IST → BUE,Stable (±1%)
IST,BUE,2026-02-13,Kupi.com,986,934,52,5.567451820128479,IST → BUE,Major Increase (>5%)
IST,BUE,2026-02-15,Авиасейлс,989,982,7,0.7128309572301426,IST → BUE,Stable (±1%)
IST,BUE,2026-02-15,Авиасейлс,989,1008,-19,-1.8849206349206349,IST → BUE,Minor Drop (1-5%)
IST,BUE,2025-09-08,Kupi.com,999,993,6,0.6042296072507553,IST → BUE,Stable (±1%)
IST,BUE,2025-06-19,Aviakassa,1000,993,7,0.7049345417925479,IST → BUE,Stable (±1%)
IST,BUE,2025-08-18,City.Travel,1002,995,7,0.7035175879396985,IST → BUE,Stable (±1%)
IST,BUE,2025-09-10,City.Travel,1003,996,7,0.7028112449799196,IST → BUE,Stable (±1%)
IST,BUE,2026-02-01,Авиасейлс,1003,996,7,0.7028112449799196,IST → BUE,Stable (±1%)
IST,BUE,2025-10-02,Kupi.com,1012,1005,7,0.6965174129353234,IST → BUE,Stable (±1%)
IST,BUE,2025-10-02,Kupi.com,1012,1008,4,0.3968253968253968,IST → BUE,Stable (±1%)
IST,BUE,2025-09-14,Авиасейлс,1012,1005,7,0.6965174129353234,IST → BUE,Stable (±1%)
IST,BUE,2026-04-23,OneTwoTrip,1015,1008,7,0.6944444444444444,IST → BUE,Stable (±1%)
IST,BUE,2025-10-02,Kupi.com,1015,1005,10,0.9950248756218906,IST → BUE,Stable (±1%)
IST,BUE,2025-10-02,Kupi.com,1015,1008,7,0.6944444444444444,IST → BUE,Stable (±1%)
IST,BUE,2026-02-15,Авиасейлс,1015,982,33,3.360488798370672,IST → BUE,Minor Increase (1-5%)
IST,BUE,2026-02-15,Авиасейлс,1015,1008,7,0.6944444444444444,IST → BUE,Stable (±1%)
IST,BUE,2025-06-19,Авиасейлс,1022,1015,7,0.6896551724137931,IST → BUE,Stable (±1%)
IST,BUE,2026-03-04,City.Travel,1022,1015,7,0.6896551724137931,IST → BUE,Stable (±1%)
IST,BUE,2026-03-29,Kupi.com,1025,1018,7,0.68762278978389,IST → BUE,Stable (±1%)
IST,BUE,2025-09-28,Kupi.com,1025,1018,7,0.68762278978389,IST → BUE,Stable (±1%)
IST,BUE,2026-05-16,OneTwoTrip,1030,1023,7,0.6842619745845552,IST → BUE,Stable (±1%)
IST,BUE,2025-09-14,Kupi.com,1032,1025,7,0.6829268292682927,IST → BUE,Stable (±1%)
IST,BUE,2025-11-10,Trip.com,1038,1031,7,0.6789524733268671,IST → BUE,Stable (±1%)
IST,BUE,2025-09-08,Kupi.com,1041,993,48,4.833836858006042,IST → BUE,Minor Increase (1-5%)
TYO,BUE,2025-06-25,Biletix,1458,1448,10,0.6906077348066298,TYO → BUE,Stable (±1%)
TYO,BUE,2025-09-08,City.Travel,1530,1520,10,0.6578947368421052,TYO → BUE,Stable (±1%)
TYO,BUE,2025-06-25,City.Travel,1570,1559,11,0.7055805003207184,TYO → BUE,Stable (±1%)
TYO,BUE,2025-06-25,City.Travel,1570,1959,-389,-19.85706993363961,TYO → BUE,Major Drop (>5%)
TYO,BUE,2025-08-24,City.Travel,1592,1581,11,0.6957621758380772,TYO → BUE,Stable (±1%)
TYO,BUE,2025-08-31,City.Travel,1592,1581,11,0.6957621758380772,TYO → BUE,Stable (±1%)
TYO,BUE,2025-07-19,City.Travel,1852,1839,13,0.7069059271343121,TYO → BUE,Stable (±1%)
TYO,BUE,2025-07-18,City.Travel,1879,1866,13,0.6966773847802787,TYO → BUE,Stable (±1%)
TYO,BUE,2025-06-25,City.Travel,1972,1559,413,26.491340602950608,TYO → BUE,Major Increase (>5%)
TYO,BUE,2025-06-25,City.Travel,1972,1959,13,0.6636038795303726,TYO → BUE,Stable (±1%)
TYO,BUE,2025-07-01,Kupi.com,2024,2010,14,0.6965174129353234,TYO → BUE,Stable (±1%)
TYO,BUE,2025-09-14,Aviakassa,2064,2050,14,0.6829268292682927,TYO → BUE,Stable (±1%)
TYO,BUE,2025-12-11,MEGO.travel,2176,2161,15,0.6941230911614993,TYO → BUE,Stable (±1%)
